## INITIAL VALUES,,,,,,,,,,,,,,,,,,,
Exports,1542,mln LC/year,,3084,mln LC/year,,,,,,,,,,,,,,
Capital stocks,27880,mln LC,,,,,,,,,,,,,,,,,
Net external debt,421.9,mln USD,,,,,,,,,,,,,,,,,
Population,280.4,thous people,,,,,,,,,,,,,,,,,
Utilization,1.019,,,,,,,,,,,,,,,,,,
Consumer price inflation,0.049,,,,,,,,,,,,,,,,,,
Consumption price,1.365,,,,,,,,,,,,,,,,,,
GDP price level,1.059,,,,,,,,,,,,,,,,,,
Wage/basic consumption,21.46,,,,,,,,,,,,,,,,,,
Domestic saving target rate,0.07,,,,,,,,,,,,,,,,,,
Direct tourist contribution,2035.44,mln LC/year,,,,,,,,,,,,,,,,,
## TIME,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
# Tourism model,,,,,,,,,,,,,,,,,,,
growth in number of airlines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hurricane coeff,-0.02,,,,,,,,,,,,,,,,,,
source country gdp,1,,,,,,,,,,,,,,,,,,
xr coeff,-0.03,,,,,,,,,,,,,,,,,,
airlines coeff,0.09,,,,,,,,,,,,,,,,,,
# Tourism shares,,,,,,,,,,,,,,,,,,,
USA,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913,0.27173913
GBR,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783,0.380434783
CAN,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783,0.130434783
CSS,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304,0.217391304
# Source country GDP model,,,,,,,,,,,,,,,,,,,
,USA,GBR,CAN,CSS,,,,,,,,,,,,,,,
const,0.005703,0.001705,-0.004304,-0.008109,,,,,,,,,,,,,,,
own,0.390878,0.448087,0.293404,0.494269,,,,,,,,,,,,,,,
world,1.02016,0.789442,1.217129,0.784691,,,,,,,,,,,,,,,
worldl1,-0.643775,-0.407136,-0.492545,-0.169852,,,,,,,,,,,,,,,
sd,0.01078602,0.01184718,0.01276738,0.0149619,,,,,,,,,,,,,,,
init,0.02563767,0.01711206,0.03089495,0.01462283,,,,,,,,,,,,,,,
# World GDP model,,,,,,,,,,,,,,,,,,,
mean,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635,0.03148635
lag 1 coeff,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214,0.3028214
sd,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046,0.007579046
recession prob,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641,0.1025641
recession depth mean,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202,0.02623202
recession depth max,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
# Global temperature,,,,,,,,,,,,,,,,,,,
